# Day  	Sunrise  	Sunset  	Avg.High 	Avg.Low 	Mean 	RecordHigh 	RecordLow
01
1  	 7:14 AM  	 4:22 PM  	38°F  	24°F  	31°F  	70°F (1876)  	-3°F (1918)
2 	7:14 AM 	4:23 PM 	38°F 	23°F 	30°F 	66°F (1890) 	-3°F (1899)
3 	7:14 AM 	4:24 PM 	38°F 	23°F 	30°F 	64°F (2000) 	-1°F (1904)
4 	7:14 AM 	4:25 PM 	37°F 	23°F 	30°F 	64°F (1950) 	-4°F (1981)
5 	7:14 AM 	4:26 PM 	37°F 	23°F 	30°F 	63°F (2007) 	-4°F (1981)
6 	7:14 AM 	4:27 PM 	37°F 	23°F 	30°F 	69°F (2007) 	-10°F (1896)
7 	7:13 AM 	4:28 PM 	37°F 	22°F 	30°F 	63°F (1930) 	-2°F (1896)
8 	7:13 AM 	4:29 PM 	37°F 	22°F 	30°F 	64°F (1930) 	-6°F (1878)
9 	7:13 AM 	4:30 PM 	37°F 	22°F 	29°F 	64°F (1937) 	-4°F (1968)
10 	7:13 AM 	4:31 PM 	37°F 	22°F 	29°F 	56°F (2000) 	-3°F (2004)
11 	7:12 AM 	4:32 PM 	37°F 	22°F 	29°F 	62°F (1975) 	-4°F (1893)
12 	7:12 AM 	4:33 PM 	36°F 	22°F 	29°F 	61°F (1975) 	-10°F (1886)
13 	7:12 AM 	4:35 PM 	36°F 	22°F 	29°F 	63°F (1932) 	-9°F (1914)
14 	7:11 AM 	4:36 PM 	36°F 	22°F 	29°F 	69°F (1932) 	-8°F (1914)
15 	7:11 AM 	4:37 PM 	36°F 	22°F 	29°F 	66°F (1995) 	-12°F (1957)
16 	7:10 AM 	4:38 PM 	36°F 	22°F 	29°F 	64°F (1995) 	-7°F (2004)
17 	7:10 AM 	4:39 PM 	36°F 	22°F 	29°F 	59°F (1913) 	-4°F (1907)
18 	7:09 AM 	4:41 PM 	36°F 	22°F 	29°F 	63°F (1990) 	-3°F (1974)
19 	7:09 AM 	4:42 PM 	36°F 	22°F 	29°F 	61°F (1951) 	-6°F (1904)
20 	7:08 AM 	4:43 PM 	36°F 	21°F 	29°F 	60°F (1951) 	-3°F (1946)
21 	7:07 AM 	4:44 PM 	36°F 	21°F 	29°F 	68°F (1906) 	-17°F (1946)
22 	7:07 AM 	4:46 PM 	36°F 	21°F 	29°F 	66°F (1916) 	-18°F (1946)
23 	7:06 AM 	4:47 PM 	36°F 	21°F 	29°F 	68°F (1906) 	-13°F (1946)
24 	7:05 AM 	4:48 PM 	36°F 	22°F 	29°F 	62°F (1999) 	-23°F (1946)
25 	7:04 AM 	4:49 PM 	36°F 	22°F 	29°F 	59°F (1916) 	-30°F (1946)
26 	7:03 AM 	4:51 PM 	36°F 	22°F 	29°F 	72°F (1950) 	-19°F (1946)
27 	7:03 AM 	4:52 PM 	36°F 	22°F 	29°F 	63°F (1974) 	-9°F (1946)
28 	7:02 AM 	4:53 PM 	36°F 	22°F 	29°F 	63°F (1916) 	-17°F (1946)
29 	7:01 AM 	4:55 PM 	36°F 	22°F 	29°F 	65°F (2002) 	-16°F (1946)
30 	7:00 AM 	4:56 PM 	36°F 	22°F 	29°F 	63°F (1914) 	-13°F (1946)
31 	6:59 AM 	4:57 PM 	37°F 	22°F 	29°F 	62°F (1913) 	-17°F (1946)

02
